year;kapcsolat;r;R2;p;minta_db;;year;ndvi_lst;ndbi_lst
2016;NDVI-LST;-0.7070212479728941;0.49987904508514863;0.0;38044;;2016;-0,71;0,77
2016;NDBI-LST;0.765293095170735;0.5856735215160036;0.0;38044;;2017;-0,78;0,81
2017;NDVI-LST;-0.7765358442148544;0.6030079173504767;0.0;38044;;2018;-0,64;0,74
2017;NDBI-LST;0.806700811213237;0.6507661988120946;0.0;38044;;2019;-0,62;0,68
2018;NDVI-LST;-0.6429295215713435;0.4133583697079567;0.0;37843;;2020;-0,80;0,84
2018;NDBI-LST;0.7398849082289731;0.5474296774249959;0.0;37843;;2021;-0,31;0,48
2019;NDVI-LST;-0.6182362993193571;0.3822161217960937;0.0;37843;;2022;-0,61;0,69
2019;NDBI-LST;0.6791741718514339;0.4612775557100811;0.0;37843;;2023;-0,75;0,79
2020;NDVI-LST;-0.7955121804749085;0.6328396292839433;0.0;37843;;2024;-0,81;0,84
2020;NDBI-LST;0.8411742648342863;0.7075741438195019;0.0;37843;;2025;-0,78;0,80
2021;NDVI-LST;-0.30730383865803873;0.0944356492539659;0.0;38044;;;;
2021;NDBI-LST;0.48060849095447467;0.23098452157753735;0.0;38044;;;;
2022;NDVI-LST;-0.6116585696392213;0.3741262058130981;0.0;38044;;;;
2022;NDBI-LST;0.6854346281187753;0.4698206294243238;0.0;38044;;;;
2023;NDVI-LST;-0.7515470547945027;0.5648229755702913;0.0;38044;;;;
2023;NDBI-LST;0.7934875193861799;0.6296224434216332;0.0;38044;;;;
2024;NDVI-LST;-0.8110297053028552;0.6577691828836362;0.0;38044;;;;
2024;NDBI-LST;0.8396611698973775;0.7050308802334326;0.0;38044;;;;
2025;NDVI-LST;-0.7781401824711821;0.6055021435762846;0.0;38044;;;;
2025;NDBI-LST;0.8020544748988359;0.6432913807052473;0.0;38044;;;;
